0.656,0.558,-6.783,0.0263,0.513,1.84e-06,0.679,135.915,0
0.729,0.729,-6.777,0.0314,0.148,0,0.836,102.032,0
0.635,0.353,-11.341,0.0361,0.503,0.000309,0.233,110.516,0
0.423,0.991,-3.194,0.0618,0.00109,0.315,0.263,171.93,0
0.699,0.913,-2.639,0.0485,0.0451,0.434,0.202,126.035,0
0.595,0.595,-6.627,0.0299,0.116,0,0.394,106.961,0
0.624,0.695,-6.235,0.0881,0.02,0.779,0.381,175.106,0
0.405,0.908,-5.499,0.0342,1.48e-05,0.781,0.0575,171.026,0
0.463,0.913,-2.971,0.227,0.00405,0.000221,0.38,169.958,0
0.593,0.926,-5.361,0.0319,0.0355,0.0582,0.945,100.011,0
0.403,0.985,-3.723,0.126,0.00123,0.00996,0.239,174.996,0
0.686,0.516,-9.141,0.0379,0.107,9.46e-06,0.251,129.923,0
0.541,0.703,-5.573,0.102,0.0218,0,0.238,94.858,0
0.605,0.535,-6.943,0.0259,0.131,5.75e-06,0.753,138.026,0
0.586,0.804,-5.277,0.0343,0.0372,0,0.693,90.97,0
0.818,0.803,-4.282,0.0797,0.034,0,0.632,106.97,0
0.507,0.737,-6.332,0.0624,0.15,0.159,0.441,128.015,0
0.719,0.798,-7.076,0.189,0.443,0.00716,0.525,115.985,0
0.557,0.833,-4.671,0.073,0.00867,0,0.449,125.909,0
0.696,0.429,-8.736,0.0554,0.0518,0,0.242,149.967,0
0.672,0.593,-4.01,0.0304,0.0223,0,0.438,98.02,0
0.695,0.672,-6.109,0.0345,0.014,8.44e-05,0.245,104.988,0
0.732,0.54,-10.04,0.0278,0.499,2.37e-06,0.524,108.102,0
0.755,0.888,-4.696,0.0706,0.00255,0.00566,0.5,123.052,0
0.477,0.845,-3.975,0.0435,0.00386,0,0.882,174.865,0
0.766,0.83,-5.491,0.0637,6.48e-05,0.831,0.0525,123.976,0
0.784,0.847,-6.14,0.0704,0.299,1.33e-06,0.96,94.236,0
0.547,0.82,-6.728,0.0805,0.261,0,0.933,118.208,0
0.811,0.499,-7.161,0.118,0.0147,2.44e-06,0.466,111.016,0
0.697,0.683,-2.881,0.117,0.0372,0,0.603,96.133,0
0.857,0.801,-6.499,0.0618,0.332,1.2e-06,0.753,96.009,0
0.482,0.466,-9.44,0.153,0.0963,0.000284,0.227,104.728,0
0.606,0.713,-5.987,0.0314,0.0568,0.00262,0.549,120.016,0
0.752,0.681,-6.684,0.299,0.0195,0,0.648,73.233,0
0.302,0.975,-7.424,0.0404,4.44e-05,0.35,0.038,171.704,0
0.964,0.605,-6.223,0.179,0.0668,7.78e-06,0.646,129.994,0
0.639,0.796,-8.735,0.0365,0.0625,0.389,0.862,140.037,0
0.869,0.648,-8.698,0.0633,0.121,2.17e-05,0.9,125.035,0
0.869,0.887,-4.505,0.0993,0.0605,0,0.784,129.221,0
0.811,0.515,-13.025,0.0423,0.0742,2.89e-06,0.801,101.961,0
0.808,0.581,-5.43,0.07,0.0053,1.19e-05,0.758,130.012,0
0.548,0.909,-5.26,0.0586,0.0117,0,0.581,96.013,0
0.936,0.414,-8.942,0.0791,0.0211,0.453,0.899,107.438,0
0.672,0.738,-7.045,0.0506,0.0178,6.75e-05,0.392,107.938,0
0.662,0.246,-15.714,0.049,0.985,0.973,0.961,100.597,0
0.716,0.832,-4.233,0.0905,0.223,0,0.902,115.079,0
0.564,0.612,-9.119,0.0312,0.551,1.12e-05,0.13,126.899,0
0.585,0.619,-6.643,0.0286,0.0824,2.57e-06,0.337,100.045,0
