0.562,0.0795,-24.35,0.0451,0.989,0.963,0.0611,125.988
0.654,0.938,-3.249,0.0964,0.0209,0,0.881,138.005
0.527,0.977,-2.555,0.0578,0.00774,3.74e-06,0.511,95.534
0.701,0.788,-5.378,0.0252,0.0179,0,0.816,128.018
0.676,0.955,-4.005,0.0532,0.118,7.91e-06,0.961,134.965
0.63,0.862,-4.256,0.0517,0.045,5.16e-06,0.715,130.01
0.539,0.963,-3.635,0.0633,0.0476,9.48e-05,0.637,98.538
0.54,0.87,-4.914,0.0331,0.0613,0,0.783,98.026
0.393,0.703,-5.586,0.0443,0.185,1.28e-05,0.355,176.014
0.483,0.857,-3.752,0.0877,0.105,3.24e-05,0.685,164.998
0.632,0.799,-3.895,0.0315,0.00347,0,0.919,135.019
0.673,0.868,-4.912,0.0305,0.197,0,0.692,138.01
0.379,0.689,-5.05,0.0354,0.0797,0.0293,0.394,167.482
0.38,0.811,-6.788,0.0959,0.00733,0.00411,0.0758,171.906
0.623,0.902,-4.142,0.0623,0.0125,0,0.532,96.019
0.6,0.948,-4.457,0.0683,0.00391,0,0.493,121.019
0.545,0.819,-4.514,0.0371,0.0142,5.55e-05,0.478,82.973
0.633,0.882,-4.444,0.0522,0.0178,0,0.556,106.047
0.541,0.918,-4.599,0.048,0.0168,0,0.557,90.025
0.483,0.714,-4.477,0.0272,0.0432,0,0.274,79.018
0.612,0.851,-5.433,0.0607,0.0801,0.00899,0.462,159.987
0.534,0.741,-5.508,0.0384,0.0586,0,0.263,158.055
0.567,0.728,-5.086,0.0283,0.0296,0,0.261,83.019
0.496,0.711,-3.715,0.111,0.256,0,0.721,76.215
0.62,0.798,-5.49,0.0611,0.0315,1.11e-06,0.233,95.982
0.488,0.799,-3.34,0.0367,0.0969,0,0.532,159.993
0.623,0.83,-3.655,0.0469,0.666,0,0.836,102.029
0.509,0.816,-3.82,0.0612,0.224,0,0.641,159.844
0.231,0.694,-5.235,0.0514,0.00443,0.068,0.0762,125.317
0.328,0.249,-10.838,0.0285,0.918,6.04e-05,0.243,95.924
0.52,0.364,-11.625,0.0373,0.368,0.00549,0.0578,120.004
0.186,0.254,-14.879,0.039,0.758,1e-05,0.157,74.152
0.552,0.322,-11.561,0.0311,0.768,0.000113,0.119,94.992
0.367,0.178,-17.777,0.0422,0.95,0.423,0.0995,74.754
0.625,0.165,-15.75,0.0688,0.953,0.849,0.0929,74.945
0.411,0.971,-3.054,0.474,0.607,3.6e-05,0.232,87.897
0.518,0.39,-6.083,0.0937,0.829,0,0.311,84.092
0.204,0.88,-5.712,0.415,0.0256,0.000127,0.146,176.41
0.327,0.972,-3.489,0.469,0.0011,0.00348,0.103,173.057
0.355,0.519,-9.032,0.04,0.648,0.000281,0.204,141.817
0.461,0.288,-7.812,0.0338,0.927,0.000777,0.135,125.829
0.206,0.336,-6.881,0.0304,0.752,0.000355,0.0877,81.377
0.367,0.662,-3.962,0.0305,0.824,0,0.175,165.9
0.553,0.478,-6.336,0.0268,0.553,0,0.427,80.043
0.465,0.406,-6.182,0.0361,0.756,0,0.582,94.555
0.473,0.431,-8.172,0.0305,0.493,0,0.283,143.862
0.567,0.3,-8.421,0.0291,0.0145,0,0.196,141.819
0.567,0.3,-8.421,0.0291,0.0145,0,0.196,141.819
0.531,0.573,-5.77,0.0263,0.309,0,0.283,80.029
0.457,0.41,-7.39,0.0427,0.7,0,0.227,83.703
0.466,0.233,-9.075,0.0311,0.887,0,0.337,139.982
0.646,0.422,-6.295,0.0261,0.444,0,0.356,133.95
0.404,0.474,-4.864,0.0324,0.238,0,0.285,74.191
0.309,0.0912,-17.142,0.0333,0.976,0.0097,0.21,59.446
0.452,0.267,-7.508,0.0268,0.905,0,0.203,143.996
0.539,0.203,-9.938,0.0298,0.917,0,0.364,135.959
0.728,0.299,-8.118,0.0347,0.895,0.000208,0.545,122.965
0.364,0.257,-7.494,0.0331,0.929,1.53e-06,0.166,127.557
0.55,0.328,-6.293,0.0272,0.9,0,0.248,77.068
0.546,0.631,-4.69,0.0315,0.285,0,0.186,120.019
0.36,0.692,-4.508,0.0368,0.0567,2.7e-06,0.181,80.289
0.42,0.499,-6.124,0.0384,0.414,0,0.256,147.682
0.511,0.348,-5.614,0.0315,0.522,0,0.236,114.756
0.695,0.239,-8.951,0.0336,0.914,0,0.325,129.737
0.59,0.28,-7.539,0.0392,0.935,3.97e-06,0.397,76.157
0.441,0.275,-9.261,0.0416,0.811,0,0.164,142.878
0.506,0.343,-6.144,0.0278,0.775,0,0.517,138.114
0.512,0.248,-8.379,0.0324,0.858,0,0.146,137.77
0.651,0.168,-15.456,0.0351,0.946,2.13e-05,0.359,133.864
0.385,0.266,-9.828,0.0305,0.635,0,0.267,142.345
0.498,0.292,-7.204,0.0284,0.736,0,0.149,71.844
0.666,0.37,-6.883,0.0304,0.82,9.25e-06,0.167,125.937
0.476,0.354,-8.33,0.0292,0.775,0.000154,0.36,147.746
0.672,0.168,-11.344,0.0318,0.902,0.000351,0.385,74.989
0.47,0.151,-8.579,0.0462,0.875,0,0.361,184.554
0.775,0.156,-14.585,0.038,0.814,3.64e-06,0.356,115.981
0.523,0.127,-9.384,0.032,0.825,0,0.524,93.863
0.607,0.542,-7.835,0.0287,0.0186,5.22e-05,0.137,109.986
0.337,0.496,-8.703,0.0346,0.823,5.98e-05,0.341,134.785
0.529,0.269,-7.774,0.0283,0.897,0,0.327,71.053
0.38,0.399,-7.307,0.039,0.533,0,0.232,54.508
0.384,0.345,-10.181,0.0405,0.961,0.000388,0.156,139.999
0.219,0.401,-7.491,0.0337,0.531,1.14e-05,0.214,66.627
0.724,0.49,-6.763,0.0264,0.529,0,0.367,100.014
0.569,0.398,-7.621,0.0246,0.394,0,0.354,93.007
0.454,0.459,-5.151,0.0328,0.347,7.15e-05,0.274,73.774
0.512,0.259,-9.646,0.0322,0.915,0,0.279,135.829
0.464,0.235,-10.112,0.0313,0.693,5.1e-06,0.177,144.886
0.403,0.212,-10.502,0.0302,0.877,0,0.393,147.785
0.404,0.477,-8.072,0.0318,0.737,1.37e-05,0.162,180.046
0.449,0.111,-11.79,0.0326,0.953,0,0.269,78.235
0.362,0.275,-11.108,0.0298,0.847,0,0.278,135.92
0.262,0.0704,-18.889,0.0409,0.99,0.00232,0.0826,74.992
0.335,0.146,-15.505,0.0382,0.988,0.107,0.0845,84.716
0.511,0.15,-18.533,0.0699,0.987,0.297,0.0531,115.368
0.638,0.117,-10.1,0.0363,0.933,3.46e-05,0.173,72.603
0.444,0.0969,-13.043,0.033,0.986,0.0216,0.269,133.63
0.533,0.113,-16.437,0.0734,0.916,0.0112,0.308,139.246
0.361,0.0382,-19.314,0.0398,0.993,0.107,0.108,122.486
0.638,0.173,-11.575,0.0301,0.874,8.14e-06,0.255,149.872
0.664,0.252,-9.576,0.462,0.852,0,0.445,153.864
0.422,0.214,-13.482,0.0681,0.977,0.128,0.142,141.218
0.575,0.0831,-14.889,0.051,0.943,2.8e-05,0.304,103.636
0.398,0.254,-9.496,0.0276,0.948,6.97e-06,0.262,140.181
0.72,0.359,-6.43,0.037,0.489,0,0.437,80.064
0.729,0.475,-4.985,0.0364,0.378,0,0.371,62.52
0.626,0.412,-7.339,0.0292,0.417,3.55e-06,0.209,102.169
0.647,0.309,-7.948,0.0366,0.78,7.41e-06,0.195,87.045
0.747,0.458,-6.891,0.303,0.451,0,0.47,75.029
0.628,0.593,-5.036,0.0323,0.093,1.65e-06,0.104,125.026
0.454,0.521,-4.143,0.0285,0.413,0,0.235,72.28
0.45,0.619,-7.412,0.372,0.329,0,0.427,83.3
0.528,0.435,-8.363,0.129,0.0295,0,0.0781,102.704
0.654,0.578,-6.897,0.449,0.546,0,0.233,143.867
0.445,0.449,-7.472,0.0315,0.596,2.34e-05,0.374,90.927
0.287,0.364,-8.295,0.0306,0.418,1.8e-05,0.11,103.777
0.439,0.322,-5.959,0.028,0.692,0,0.16,77.963
0.4,0.337,-7.404,0.0355,0.831,0,0.352,108.196
0.778,0.317,-10.732,0.334,0.592,0,0.327,140.048
0.59,0.403,-8.286,0.0431,0.729,1.38e-06,0.287,111.948
0.54,0.265,-5.307,0.0297,0.88,0,0.423,61.975
0.484,0.38,-6.706,0.071,0.235,3.8e-06,0.372,106.652
0.737,0.452,-8.366,0.0534,0.0578,1.48e-05,0.096,117.962
0.615,0.534,-6.719,0.0386,0.106,1.76e-05,0.193,135.917
0.75,0.404,-10.178,0.0682,0.216,0.000357,0.0499,95.045
0.5,0.458,-7.033,0.0269,0.0368,5.55e-06,0.132,93.987
0.481,0.435,-8.795,0.0321,0.678,0,0.107,143.95
0.625,0.345,-12.378,0.029,0.627,0.0281,0.24,129.974
0.719,0.469,-8.792,0.0533,0.0329,0,0.0851,120.085
0.815,0.377,-7.754,0.0346,0.232,0,0.211,103.97
0.661,0.151,-12.864,0.0354,0.921,0,0.23,94.922
0.486,0.563,-6.328,0.0271,0.0051,2.81e-06,0.232,79.876
0.635,0.121,-15.795,0.0307,0.688,0.000383,0.0663,104.798
0.447,0.263,-13.754,0.0342,0.828,0.0049,0.0721,147.161
0.775,0.271,-9.131,0.092,0.554,0.00285,0.204,104.001
0.57,0.422,-7.561,0.0422,0.372,0,0.169,113.007
0.347,0.578,-7.525,0.0626,0.445,0,0.226,86.73
0.638,0.703,-7.874,0.444,0.0104,0,0.261,105.766
0.583,0.475,-5.556,0.0846,0.148,0,0.332,136.034
0.536,0.559,-6.826,0.0501,0.00135,0.016,0.0964,85.971
0.608,0.47,-6.73,0.0428,0.226,0,0.241,81.0
0.467,0.722,-5.819,0.0303,0.143,2.91e-06,0.14,92.014
0.504,0.712,-4.705,0.379,0.175,0,0.307,189.577
0.462,0.577,-5.089,0.0846,0.124,0,0.278,102.972
0.442,0.431,-9.007,0.0382,0.0102,0.000202,0.0707,109.128
0.537,0.347,-10.245,0.0303,0.444,0.00343,0.0968,110.011
0.55,0.468,-7.608,0.0425,0.054,0.00108,0.293,92.06
0.698,0.585,-7.629,0.0479,0.432,0.265,0.116,104.018
0.689,0.503,-10.061,0.101,0.195,0.232,0.0634,116.079
0.648,0.559,-8.424,0.128,0.285,0.103,0.159,113.054
0.628,0.433,-6.808,0.0383,0.569,7.71e-06,0.343,88.074
0.561,0.422,-4.998,0.0267,0.444,0,0.182,110.037
0.661,0.573,-6.388,0.0362,0.457,0,0.225,123.991
0.583,0.647,-4.892,0.189,0.129,0,0.299,102.398
0.72,0.402,-8.238,0.0333,0.839,0,0.379,133.957
0.526,0.241,-8.466,0.0373,0.937,0,0.46,139.437
0.322,0.366,-5.479,0.0329,0.792,0,0.33,135.946
0.476,0.647,-2.444,0.0338,0.695,0,0.349,75.022
0.65,0.637,-3.287,0.0277,0.189,0,0.267,119.957
0.369,0.322,-7.901,0.034,0.865,0,0.186,143.508
0.563,0.557,-5.98,0.0339,0.638,0,0.25,135.866
0.682,0.567,-5.71,0.0358,0.797,0,0.34,123.944
0.583,0.74,-6.163,0.289,0.141,0.000187,0.165,81.917
0.694,0.592,-6.406,0.0367,0.742,0,0.305,95.047
0.457,0.674,-6.37,0.255,0.0237,0.0161,0.171,159.851
0.625,0.685,-6.553,0.166,0.0157,0,0.0602,71.987
0.632,0.309,-13.616,0.266,0.803,0.00611,0.267,68.027
0.716,0.52,-7.078,0.363,0.182,0.00225,0.329,172.165
0.697,0.472,-11.975,0.538,0.566,0.00206,0.59,110.517
0.905,0.549,-7.812,0.352,0.0657,8.37e-05,0.135,87.01
0.668,0.615,-8.45,0.0413,0.145,0.00137,0.0522,100.015
0.613,0.414,-8.084,0.0357,0.313,0.00226,0.066,93.951
0.764,0.798,-3.445,0.0652,0.412,0,0.718,89.953
0.373,0.887,-4.491,0.074,0.00632,3.17e-06,0.271,81.041
0.41,0.834,-5.375,0.054,0.0651,0,0.333,147.982
0.467,0.433,-4.073,0.0332,0.66,0,0.333,145.302
0.757,0.955,-2.299,0.0412,0.0168,0,0.968,122.952
0.569,0.829,-3.858,0.0459,0.0353,0,0.341,93.961
0.445,0.819,-3.324,0.0587,0.206,0,0.643,169.577
0.753,0.887,-2.975,0.0359,0.111,1.43e-05,0.946,122.981
0.668,0.69,-4.807,0.0374,0.136,0,0.386,118.056
0.707,0.629,-4.581,0.0563,0.259,1.6e-05,0.457,122.863
0.771,0.855,-2.988,0.0425,0.215,0,0.548,122.967
0.456,0.957,-1.093,0.402,0.112,0,0.535,196.067
0.591,0.697,-4.2,0.0408,0.263,0,0.444,84.882
0.716,0.535,-5.13,0.0567,0.276,0,0.47,127.819
0.409,0.918,-5.852,0.112,0.0418,0.000115,0.369,155.992
0.655,0.427,-11.684,0.0799,0.295,0.00108,0.224,107.992
0.707,0.9,-4.381,0.048,0.0374,0.000326,0.76,118.018
0.687,0.956,-2.81,0.057,0.00216,1.36e-05,0.855,104.978
0.501,0.735,-6.535,0.0553,0.00993,2.82e-06,0.362,79.92
0.679,0.985,-2.36,0.0811,0.0558,2.08e-06,0.588,128.956
0.566,0.762,-6.638,0.0813,0.00906,1.35e-05,0.528,137.996
0.35,0.935,-4.368,0.0907,0.00731,1.79e-05,0.333,171.993
0.512,0.672,-5.856,0.0456,0.639,0,0.348,127.624
0.274,0.736,-4.518,0.0629,0.0288,0,0.191,193.468
0.804,0.68,-3.81,0.2,0.458,0,0.62,102.013
0.628,0.723,-4.962,0.0571,0.0329,0,0.571,93.958
0.615,0.879,-3.275,0.0377,0.0702,0,0.315,105.026
0.506,0.788,-2.372,0.0324,0.0666,0,0.233,89.993
0.685,0.607,-5.301,0.0431,0.214,0,0.455,125.011
0.445,0.528,-7.243,0.0744,0.677,0,0.511,203.155
0.365,0.413,-7.369,0.0507,0.103,3.13e-05,0.125,84.746
0.472,0.844,-5.13,0.0456,0.0106,2.86e-05,0.223,121.966
0.381,0.889,-5.911,0.0802,0.00272,2.15e-06,0.513,171.094
0.442,0.932,-2.496,0.08,0.0221,0,0.493,179.982
0.374,0.789,-4.718,0.0384,0.0514,0.00051,0.428,154.609
0.342,0.973,-2.228,0.271,0.0222,0,0.321,174.926
0.349,0.94,-5.098,0.2,0.00368,4.8e-05,0.245,82.507
0.722,0.882,-3.195,0.0562,0.0186,5.29e-06,0.683,88.106
0.775,0.71,-5.33,0.0273,0.124,2.17e-06,0.609,105.064
0.683,0.83,-6.78,0.0386,0.134,0,0.593,104.988
0.627,0.781,-4.802,0.146,0.181,0,0.536,86.919
0.759,0.66,-5.695,0.0408,0.514,0,0.425,111.988
0.477,0.806,-5.131,0.0376,0.000933,0,0.527,145.024
0.663,0.831,-5.02,0.0755,0.056,2.03e-06,0.511,97.086
0.531,0.86,-3.547,0.0495,0.0211,0,0.37,92.03
0.347,0.929,-1.918,0.0495,0.000216,0.016,0.483,149.87
0.448,0.898,-5.607,0.0407,1.01e-05,0.925,0.237,122.026
0.539,0.915,-2.848,0.0703,0.000718,0,0.23,121.974
0.206,0.619,-5.011,0.0448,0.697,5.61e-06,0.226,68.383
0.665,0.785,-5.612,0.171,0.115,0,0.353,149.897
0.647,0.899,-4.294,0.0291,0.272,0,0.657,140.065
0.341,0.984,-2.555,0.212,0.0401,0,0.235,94.733
0.567,0.949,-3.131,0.0519,0.00649,0,0.484,92.979
0.652,0.904,-4.648,0.0335,0.000239,1.35e-06,0.708,133.98
0.68,0.929,-2.913,0.0662,0.000722,8.24e-05,0.747,140.01
0.336,0.231,-6.217,0.0493,0.943,0,0.431,168.724
0.794,0.759,-6.347,0.0534,0.0793,0,0.854,110.024
0.876,0.55,-5.707,0.161,0.0126,2.84e-05,0.702,99.046
0.831,0.485,-6.677,0.151,0.391,1.92e-05,0.627,80.02
0.602,0.658,-5.947,0.055,0.0233,5.78e-05,0.28,145.084
0.722,0.461,-6.428,0.0319,0.256,0,0.464,119.91
0.848,0.601,-4.606,0.0399,0.107,7.75e-06,0.737,114.045
0.711,0.612,-6.757,0.0437,0.191,0,0.658,148.157
0.378,0.646,-5.411,0.0594,0.0232,1.04e-05,0.417,100.072
0.701,0.713,-5.507,0.0547,0.04,3.14e-06,0.361,121.934
0.761,0.818,-5.24,0.106,0.0575,0,0.346,110.98
0.592,0.542,-7.374,0.073,0.167,0,0.0576,91.767
0.694,0.453,-7.069,0.0397,0.0213,0,0.24,110.909
0.654,0.312,-10.212,0.0508,0.429,8.59e-06,0.304,119.9
0.604,0.45,-6.564,0.0354,0.651,0,0.531,100.347
0.433,0.897,-3.156,0.0437,0.0169,0,0.564,164.982
0.422,0.561,-4.62,0.0561,0.686,0,0.438,173.483
0.623,0.534,-5.995,0.0343,0.78,0,0.765,96.646
0.705,0.854,-4.406,0.0552,0.138,0,0.49,114.986
0.566,0.676,-5.6,0.0789,0.0806,0,0.279,143.077
0.552,0.848,-3.731,0.155,0.18,0,0.423,171.875
0.666,0.798,-4.517,0.0472,0.306,0,0.484,128.079
