0.514,0.918,1,-6.51,0,0.103,2.44e-05,0,0.27,125.033,4,0
0.558,0.468,3,-5.812,1,0.173,0.159,0,0.405,81.977,4,0
0.652,0.859,10,-4.295,0,0.055,0.0902,0,0.767,137.104,4,0
0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.855,129.699,4,0
0.459,0.775,0,-3.38,0,0.0501,0.000735,0,0.166,139.898,4,0
0.713,0.478,0,-15.842,1,0.0755,0.676,0.904,0.124,108.86,4,0
0.804,0.66,10,-4.86,0,0.0726,0.0319,0,0.257,94.053,4,0
0.663,0.767,6,-3.718,0,0.125,0.253,2.53e-06,0.348,128.008,4,0
0.889,0.494,8,-5.578,0,0.139,0.0247,0,0.24,129.968,4,0
0.642,0.777,4,-4.809,0,0.094,0.00323,0,0.413,96.986,4,0
0.679,0.705,1,-5.452,0,0.0692,0.00425,0,0.733,140.05,4,0
0.755,0.575,4,-8.392,0,0.0673,0.0443,0.00127,0.493,85.994,4,0
0.753,0.89,9,-5.161,1,0.477,4.08e-05,0.904,0.537,129.973,4,0
0.554,0.998,1,-2.125,1,0.148,0.0164,0.803,0.185,128.01,4,0
0.733,0.678,6,-7.771,1,0.439,0.121,0,0.841,175.984,4,0
0.769,0.264,8,-12.859,1,0.192,0.3,0.000329,0.156,69.096,4,0
0.672,0.969,11,-3.856,0,0.0697,0.00246,0.391,0.183,127.981,4,0
0.366,0.847,8,-5.216,1,0.035,2.64e-05,0,0.606,166.17,4,0
0.786,0.775,1,-5.316,0,0.0711,0.156,0.000103,0.659,122.002,4,0
0.382,0.899,2,-3.563,1,0.233,0.0152,0,0.552,94.774,4,0
0.904,0.627,1,-6.186,1,0.103,0.0573,0,0.555,139.984,4,0
0.773,0.773,3,-2.615,0,0.0854,0.0395,6.46e-05,0.912,116.071,4,0
0.904,0.647,1,-6.489,1,0.244,0.0913,0,0.295,127.209,4,0
0.465,0.967,10,-2.48,0,0.0442,0.00267,0.566,0.733,174.048,4,0
0.522,0.746,8,-6.999,1,0.0422,0.0594,0.00103,0.404,102.093,4,0
0.532,0.795,11,-3.46,1,0.327,0.121,0,0.579,155.595,4,0
0.383,0.637,3,-6.993,1,0.0703,0.0722,0,0.0827,177.913,4,0
0.769,0.737,11,-6.458,0,0.17,0.000491,0.00802,0.631,96.041,4,0
0.377,0.975,2,-4.31,0,0.171,1.34e-05,0.00344,0.311,163.168,4,0
0.882,0.613,1,-6.691,1,0.0476,0.000433,0.000361,0.46,104.957,4,0
0.723,0.748,11,-3.601,1,0.103,0.00196,0.893,0.221,86.021,4,0
0.929,0.536,0,-5.941,1,0.281,0.0868,0,0.887,130.05,4,0
0.531,0.85,2,-4.851,1,0.0809,0.000738,0.00435,0.47,131.094,4,0
0.584,0.901,8,-2.22,0,0.155,0.152,0,0.612,130.178,4,0
0.7,0.822,4,-6.507,0,0.051,0.0737,0.0894,0.446,122.971,4,0
0.436,0.869,4,-2.473,0,0.0615,0.0542,0,0.0383,155.051,4,0
0.579,0.678,6,-5.482,0,0.0375,0.512,0,0.37,135.962,4,0
0.395,0.977,7,-5.572,1,0.0487,5.04e-06,0.551,0.509,107.692,4,0
0.544,0.874,1,-3.891,1,0.0475,6.05e-05,0.00229,0.25,93.028,4,0
0.587,0.881,2,-1.316,1,0.0397,0.0114,0.00146,0.221,94.984,4,0
0.646,0.887,7,-4.607,0,0.0371,0.274,0,0.457,113.972,4,0
0.532,0.704,5,-3.895,0,0.26,0.093,0,0.591,96.004,4,0
0.583,0.964,8,-3.746,1,0.0465,0.000213,0.824,0.251,127.998,4,0
0.775,0.463,10,-13.895,0,0.13,0.00224,0.000246,0.792,96.037,4,0
0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.508,102.061,4,0
0.551,0.933,9,-2.742,0,0.173,0.0134,0.00039,0.395,172.019,4,0
0.835,0.527,2,-5.48,1,0.295,0.156,0,0.292,131.02,4,0
0.652,0.766,10,-4.658,0,0.0752,0.000626,4.85e-05,0.472,127.024,4,0
0.632,0.981,2,-3.492,1,0.0618,0.00426,0.276,0.0609,128.084,4,0
0.801,0.908,2,-6.554,1,0.221,0.00253,0.000655,0.805,87.279,4,0
0.842,0.587,7,-6.677,0,0.069,0.00941,0.000337,0.135,145.016,4,0
0.567,0.913,8,-6.471,1,0.0736,0.0934,0.000124,0.792,93.35,4,0
